N size rank blocking_factor t_exec t_proc t_comm
1024 16 0 64 4.340775 0.201169 4.139606 
1024 16 1 64 4.344840 0.162716 4.182124 
1024 16 2 64 4.339875 0.204014 4.135861 
1024 16 3 64 4.347213 0.191624 4.155588 
1024 16 4 64 4.346402 0.208836 4.137565 
1024 16 5 64 4.340635 0.280635 4.060000 
1024 16 6 64 4.341581 0.261575 4.080006 
1024 16 7 64 4.347256 0.234724 4.112532 
1024 16 8 64 4.346375 0.350424 3.995951 
1024 16 9 64 4.345910 0.309914 4.035996 
1024 16 10 64 4.334526 0.288582 4.045944 
1024 16 11 64 4.342363 0.337461 4.004902 
1024 16 12 64 4.345193 0.326073 4.019120 
1024 16 13 64 4.341925 0.406154 3.935771 
1024 16 14 64 4.329650 0.338306 3.991344 
1024 16 15 64 4.329203 0.382787 3.946416 
