N size rank blocking_factor t_exec t_proc t_comm
2048 16 0 128 13.350779 1.545860 11.804919 
2048 16 1 128 13.352935 1.413291 11.939644 
2048 16 2 128 13.352546 1.507747 11.844799 
2048 16 3 128 13.353169 1.472960 11.880209 
2048 16 4 128 13.348744 1.391739 11.957005 
2048 16 5 128 13.347265 1.397565 11.949700 
2048 16 6 128 13.348450 1.354910 11.993541 
2048 16 7 128 13.351420 1.409042 11.942378 
2048 16 8 128 13.337609 1.518310 11.819299 
2048 16 9 128 13.348148 1.316337 12.031811 
2048 16 10 128 13.349869 1.379312 11.970557 
2048 16 11 128 13.347324 1.365556 11.981768 
2048 16 12 128 13.324853 1.425419 11.899434 
2048 16 13 128 13.331381 1.445664 11.885717 
2048 16 14 128 13.349181 1.423249 11.925931 
2048 16 15 128 13.333063 1.388616 11.944447 
