N size rank blocking_factor t_exec t_proc t_comm
2048 16 0 128 37.263621 1.181696 36.081925 
2048 16 1 128 9.320820 1.215151 8.105669 
2048 16 2 128 12.239455 1.543484 10.695971 
2048 16 3 128 15.837196 1.981720 13.855476 
2048 16 4 128 18.286157 1.244614 17.041543 
2048 16 5 128 20.696971 1.611446 19.085525 
2048 16 6 128 23.304424 2.740522 20.563902 
2048 16 7 128 25.817313 2.997426 22.819886 
2048 16 8 128 27.664221 2.974752 24.689469 
2048 16 9 128 29.637241 2.866728 26.770513 
2048 16 10 128 31.010407 2.435242 28.575165 
2048 16 11 128 32.706800 3.215344 29.491456 
2048 16 12 128 33.695103 3.974575 29.720528 
2048 16 13 128 35.674780 4.172070 31.502710 
2048 16 14 128 36.581286 3.210054 33.371232 
2048 16 15 128 37.229266 3.174146 34.055120 
