N size rank blocking_factor t_exec t_proc t_comm
1024 16 0 64 2.838316 0.181201 2.657115 
1024 16 1 64 2.834708 0.150774 2.683934 
1024 16 2 64 2.796274 0.153461 2.642813 
1024 16 3 64 2.833556 0.163987 2.669569 
1024 16 4 64 2.797756 0.153287 2.644469 
1024 16 5 64 2.832805 0.148091 2.684714 
1024 16 6 64 2.834538 0.145713 2.688825 
1024 16 7 64 2.836222 0.146165 2.690057 
1024 16 8 64 2.814936 0.144403 2.670533 
1024 16 9 64 2.835277 0.164903 2.670374 
1024 16 10 64 2.814682 0.178743 2.635939 
1024 16 11 64 2.826659 0.151571 2.675088 
1024 16 12 64 2.832520 0.159550 2.672970 
1024 16 13 64 2.837382 0.158674 2.678708 
1024 16 14 64 2.822753 0.151651 2.671102 
1024 16 15 64 2.797780 0.168523 2.629257 
